location,avg_price_per_sqft,typical_price_lakh,availability_level,remarks
Gomti Nagar,2400-4600,35-115,High,Premium area high demand
Faizabad Road,2000-3200,20-50,High,Growth corridor affordable plots
Sultanpur Road,2300,18-35,High,Emerging area strong growth
Indira Nagar,3500-6000,40-100,Medium,Established residential zone
Shaheed Path,6000,50-120,Medium,Premium fast developing corridor
Sitapur Road,1200-2500,5-25,High,Budget plots widely available
Kursi Road,1800-3000,15-40,High,Affordable mid-range zone
Kanpur Road,2300,20-30,Medium,Good connectivity near airport
Raebareli Road,2000-2800,15-30,Medium,Developing outskirts
Jankipuram,2000-3000,25-40,Medium,Residential demand steady
IIM Road,1600-3000,20-80,Medium,High growth (recent surge)
Vikas Nagar,5000,50-80,Low,Premium limited supply
Mohanlalganj,2000-3000,30-60,Medium,Outer area large plots
Malhaur,3000-4600,40-80,Medium,Near Gomti Nagar extension
Bijnor Road,2500-4000,40-70,Medium,Airport side growth
Amar Shaheed Path,6000+,50-120,Medium,High-end infrastructure zone